Id,Name,Type,DataType
ga:goal13AbandonRate,Goal 13 Abandonment Rate,metric,percent
ga:searchGoal13ConversionRate,Site Search Goal 13 Conversion Rate,metric,percent
ga:goal14Completions,Goal 14 Completions,metric,integer
ga:goal14Starts,Goal 14 Starts,metric,integer
ga:goal14Value,Goal 14 Value,metric,currency
ga:goal14ConversionRate,Goal 14 Conversion Rate,metric,percent
ga:goal14Abandons,Goal 14 Abandoned Funnels,metric,integer
ga:goal14AbandonRate,Goal 14 Abandonment Rate,metric,percent
ga:searchGoal14ConversionRate,Site Search Goal 14 Conversion Rate,metric,percent
ga:goal15Completions,Goal 15 Completions,metric,integer
ga:goal15Starts,Goal 15 Starts,metric,integer
ga:goal15Value,Goal 15 Value,metric,currency
ga:goal15ConversionRate,Goal 15 Conversion Rate,metric,percent
ga:goal15Abandons,Goal 15 Abandoned Funnels,metric,integer
ga:goal15AbandonRate,Goal 15 Abandonment Rate,metric,percent
ga:searchGoal15ConversionRate,Site Search Goal 15 Conversion Rate,metric,percent
ga:goal16Completions,Goal 16 Completions,metric,integer
ga:goal16Starts,Goal 16 Starts,metric,integer
ga:goal16Value,Goal 16 Value,metric,currency
ga:goal16ConversionRate,Goal 16 Conversion Rate,metric,percent
ga:goal16Abandons,Goal 16 Abandoned Funnels,metric,integer
ga:goal16AbandonRate,Goal 16 Abandonment Rate,metric,percent
ga:searchGoal16ConversionRate,Site Search Goal 16 Conversion Rate,metric,percent
ga:goal17Completions,Goal 17 Completions,metric,integer
ga:goal17Starts,Goal 17 Starts,metric,integer
ga:goal17Value,Goal 17 Value,metric,currency
ga:goal17ConversionRate,Goal 17 Conversion Rate,metric,percent
ga:goal17Abandons,Goal 17 Abandoned Funnels,metric,integer
ga:goal17AbandonRate,Goal 17 Abandonment Rate,metric,percent
ga:searchGoal17ConversionRate,Site Search Goal 17 Conversion Rate,metric,percent
ga:goal18Completions,Goal 18 Completions,metric,integer
ga:goal18Starts,Goal 18 Starts,metric,integer
ga:goal18Value,Goal 18 Value,metric,currency
ga:goal18ConversionRate,Goal 18 Conversion Rate,metric,percent
ga:goal18Abandons,Goal 18 Abandoned Funnels,metric,integer
ga:goal18AbandonRate,Goal 18 Abandonment Rate,metric,percent
ga:searchGoal18ConversionRate,Site Search Goal 18 Conversion Rate,metric,percent
ga:goal19Completions,Goal 19 Completions,metric,integer
ga:goal19Starts,Goal 19 Starts,metric,integer
ga:goal19Value,Goal 19 Value,metric,currency
ga:goal19ConversionRate,Goal 19 Conversion Rate,metric,percent
ga:goal19Abandons,Goal 19 Abandoned Funnels,metric,integer
ga:goal19AbandonRate,Goal 19 Abandonment Rate,metric,percent
ga:searchGoal19ConversionRate,Site Search Goal 19 Conversion Rate,metric,percent
ga:goal20Completions,Goal 20 Completions,metric,integer
ga:goal20Starts,Goal 20 Starts,metric,integer
ga:goal20Value,Goal 20 Value,metric,currency
ga:goal20ConversionRate,Goal 20 Conversion Rate,metric,percent
ga:goal20Abandons,Goal 20 Abandoned Funnels,metric,integer
ga:goal20AbandonRate,Goal 20 Abandonment Rate,metric,percent
ga:searchGoal20ConversionRate,Site Search Goal 20 Conversion Rate,metric,percent
ga:dimension1,Custom Dimension 1,dimension,string
ga:dimension2,Custom Dimension 2,dimension,string
ga:dimension3,Custom Dimension 3,dimension,string
ga:dimension4,Custom Dimension 4,dimension,string
ga:dimension5,Custom Dimension 5,dimension,string
ga:dimension6,Custom Dimension 6,dimension,string
ga:dimension7,Custom Dimension 7,dimension,string
ga:dimension8,Custom Dimension 8,dimension,string
ga:dimension9,Custom Dimension 9,dimension,string
ga:dimension10,Custom Dimension 10,dimension,string
ga:dimension11,Custom Dimension 11,dimension,string
ga:dimension12,Custom Dimension 12,dimension,string
ga:dimension13,Custom Dimension 13,dimension,string
ga:dimension14,Custom Dimension 14,dimension,string
ga:dimension15,Custom Dimension 15,dimension,string
ga:dimension16,Custom Dimension 16,dimension,string
ga:dimension17,Custom Dimension 17,dimension,string
ga:dimension18,Custom Dimension 18,dimension,string
ga:dimension19,Custom Dimension 19,dimension,string
ga:dimension20,Custom Dimension 20,dimension,string
ga:metric1,Custom Metric 1 Value,metric,integer
ga:metric2,Custom Metric 2 Value,metric,integer
ga:metric3,Custom Metric 3 Value,metric,integer
ga:metric4,Custom Metric 4 Value,metric,integer
ga:metric5,Custom Metric 5 Value,metric,integer
ga:metric6,Custom Metric 6 Value,metric,integer
ga:metric7,Custom Metric 7 Value,metric,integer
ga:metric8,Custom Metric 8 Value,metric,integer
ga:metric9,Custom Metric 9 Value,metric,integer
ga:metric10,Custom Metric 10 Value,metric,integer
ga:metric11,Custom Metric 11 Value,metric,integer
ga:metric12,Custom Metric 12 Value,metric,integer
ga:metric13,Custom Metric 13 Value,metric,integer
ga:metric14,Custom Metric 14 Value,metric,integer
ga:metric15,Custom Metric 15 Value,metric,integer
ga:metric16,Custom Metric 16 Value,metric,integer
ga:metric17,Custom Metric 17 Value,metric,integer
ga:metric18,Custom Metric 18 Value,metric,integer
ga:metric19,Custom Metric 19 Value,metric,integer
ga:metric20,Custom Metric 20 Value,metric,integer
ga:contentGroupUniqueViews1,Unique Views 1,metric,integer
ga:landingContentGroup1,Landing Page Group 1,dimension,string
ga:previousContentGroup1,Previous Page Group 1,dimension,string
ga:contentGroup1,Page Group 1,dimension,string
ga:productCategoryLevel1,Product Category Level 1,dimension,string
ga:contentGroupUniqueViews2,Unique Views 2,metric,integer
ga:landingContentGroup2,Landing Page Group 2,dimension,string
ga:previousContentGroup2,Previous Page Group 2,dimension,string
ga:contentGroup2,Page Group 2,dimension,string
ga:productCategoryLevel2,Product Category Level 2,dimension,string
ga:contentGroupUniqueViews3,Unique Views 3,metric,integer
ga:landingContentGroup3,Landing Page Group 3,dimension,string
ga:previousContentGroup3,Previous Page Group 3,dimension,string
ga:contentGroup3,Page Group 3,dimension,string
ga:productCategoryLevel3,Product Category Level 3,dimension,string
ga:contentGroupUniqueViews4,Unique Views 4,metric,integer
ga:landingContentGroup4,Landing Page Group 4,dimension,string
ga:previousContentGroup4,Previous Page Group 4,dimension,string
ga:contentGroup4,Page Group 4,dimension,string
ga:productCategoryLevel4,Product Category Level 4,dimension,string
ga:contentGroupUniqueViews5,Unique Views 5,metric,integer
ga:landingContentGroup5,Landing Page Group 5,dimension,string
ga:previousContentGroup5,Previous Page Group 5,dimension,string
ga:contentGroup5,Page Group 5,dimension,string
ga:productCategoryLevel5,Product Category Level 5,dimension,string
ga:segment,Segment,dimension,string
